spotify_track_uri,title,artist,album,listened,skipped,ms_played,incognito_mode,offline,reason_start_trackerror,reason_start_switched-to-audio,reason_start_appload,reason_start_fwdbtn,reason_start_remote,reason_start_clickrow,reason_start_backbtn,reason_start_playbtn,reason_start_trackdone,reason_end_unexpected-exit-while-paused,reason_end_logout,reason_end_trackerror,reason_end_unknown,reason_end_endplay,reason_end_fwdbtn,reason_end_remote,reason_end_unexpected-exit,reason_end_backbtn,reason_end_trackdone
spotify:track:39qYD4J4BKvZMQgxfXl5bv,Eye In The Sky,The Alan Parsons Project,Eye In The Sky (Expanded Edition),21,12,2951514,0,0,0,0,1,4,0,3,1,0,12,0,2,0,0,3,9,1,0,0,6
spotify:track:4xapIn6OHVjfotQKcgOL8K,Per dimenticare,Zero Assoluto,Per dimenticare,21,12,1923196,0,0,0,0,0,12,0,3,2,0,4,0,0,0,0,1,10,0,0,1,9
spotify:track:2YIjojA9bKEcD4ScEiBg2q,Hard Knock Life,JAY-Z,Vol.2... Hard Knock Life,20,17,1198840,0,1,0,0,0,9,0,6,0,0,5,0,0,0,0,5,12,0,0,0,3
spotify:track:2zuRZkoWxoNtKaA4Q44f44,RESPIRA (feat. Marracash),Salmo,CVLT,20,13,2026639,0,0,0,0,0,4,0,2,1,0,13,0,0,0,0,2,10,0,0,1,7
spotify:track:1iQ5E4z6CJ38dIzvMI9Wdo,The Watcher,Dr. Dre,2001,20,12,1713018,0,0,0,0,0,5,0,8,0,0,7,0,0,0,0,8,4,0,0,0,8
spotify:track:11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),20,7,2618125,0,0,0,0,1,5,1,2,0,0,11,0,1,0,1,3,3,0,1,1,10
spotify:track:3IUmCs4zwUffG01G7F7iQx,Drug Ballad,Eminem,The Marshall Mathers LP,20,15,1212192,0,0,0,0,0,12,0,3,0,0,5,0,0,0,0,2,13,0,0,0,5
spotify:track:0FlfN5cbUUpIHCRH8X1M44,t h e . c l i m b . b a c k,J. Cole,Lewis Street,20,13,2494373,0,0,0,0,0,12,0,2,2,0,4,0,0,0,0,3,8,0,0,2,7
spotify:track:0SyxZC4wlqAwf20cHE6Xon,Bulletproof,La Roux,Bulletproof,20,10,1809795,0,0,0,0,0,9,0,3,0,0,8,0,0,0,0,2,8,0,0,0,10
spotify:track:7DRuzSlhjKadgdsQRYZ0tr,Drunk and Hot Girls,Kanye West,Graduation,19,17,1056550,0,0,0,0,0,8,0,7,0,0,4,0,1,0,0,7,10,0,0,0,1
spotify:track:3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,19,10,2664339,0,0,0,0,0,5,0,2,3,0,9,0,0,0,0,2,6,0,0,2,9
spotify:track:5XpJOQgVEuM1FzgeGXzUvk,Butterflies & Hurricanes,Muse,Absolution,19,11,3047105,0,0,0,1,0,4,0,6,0,0,8,0,0,0,0,6,5,0,0,0,8
spotify:track:1mavQ4WCzXSeL2Dm5DS4GQ,Legacy,Eminem,The Marshall Mathers LP2,19,12,2367329,0,0,0,0,1,10,0,0,2,0,6,0,1,0,0,0,12,0,0,0,6
spotify:track:5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,19,10,2740215,0,0,0,0,0,9,0,6,0,0,4,0,0,0,0,5,5,0,0,0,9
